id,name,parent_id,created_at,updated_at,children_count,cover,logo,product_template_id,state,status_text,position,suppliers_count,post_tag,products_count,slug,certifiers_count,labels_count,cover_original_content_type,cover_original_filename,cover_original_filesize,logo_original_content_type,logo_original_filename,logo_original_filesize,cover_title,cover_alt,cover_description,logo_title,logo_alt,logo_description
34ee7a96-8638-4e0a-9111-6a0e78e1cc75,Bell peppers,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:37:12.922995,2020-08-20 15:26:41.894342,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,8,0,,0,food-and-beverage-bell-peppers,0,0,,,0,,,0,,,,,,
82fb04f2-ab67-4f29-88f0-069d38e28f78,Centella ,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:55:15.27952,2020-08-20 15:27:01.925589,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,22,0,,0,food-and-beverage-centella,0,0,,,0,,,0,,,,,,
0ef7e09c-d25a-4d94-bffb-5cc09cab0b94,Bergamot,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:37:38.859215,2020-08-20 15:26:42.676093,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,9,0,,0,food-and-beverage-bergamot,0,0,,,0,,,0,,,,,,
3f802242-adcf-4295-95cb-3051ebefe968,Papaya,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:57:07.777922,2020-08-20 15:27:59.365747,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,56,0,,0,food-and-beverage-papaya,0,0,,,0,,,0,,,,,,
04bfdf8b-26d4-4cf2-89a2-d97bd3a70bc7,Buttercup squash,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 09:51:39.243224,2020-08-20 15:26:50.154324,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,15,0,,0,food-and-beverage-buttercup-squash,0,0,,,0,,,0,,,,,,
8ca93bd0-a8a5-4322-8a90-f377d86af0da,Kiwi,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:52:03.434623,2020-08-20 15:27:34.947149,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,42,0,,0,food-and-beverage-kiwi,0,0,,,0,,,0,,,,,,
a8de1fcf-06aa-4ce5-ba64-5dcb0a50ec36,Jackfruit,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:50:50.898699,2020-08-20 15:27:32.381455,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,39,0,,0,food-and-beverage-jackfruit,0,0,,,0,,,0,,,,,,
ddc1a00b-ff27-4a7b-8e54-f01c22afee67,Cucumber,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:42:34.1022,2020-08-20 15:27:21.589285,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,30,0,,0,food-and-beverage-cucumber,0,0,,,0,,,0,,,,,,
6537accc-f701-4d15-ba50-48b719848d5e,Pomegranate,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 21:00:18.145902,2020-08-20 15:28:11.481014,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,65,0,,0,food-and-beverage-pomegranate,0,0,,,0,,,0,,,,,,
b33accf8-ef2a-401e-94f8-80455101d9e8,Kale,6b5b7082-3d04-47dc-8151-dbd6a09a0b41,2020-08-17 20:51:45.942864,2020-08-20 15:27:33.672978,0,,,5f7c499d-bab4-4783-95e7-11d8a564ef86,disabled, ,41,0,,0,food-and-beverage-kale,0,0,,,0,,,0,,,,,,
